INPUT_TABLE
Variable ID
RegionFuelAdder

region,supplysector,subsector,technology,year,minicam-non-energy-input,input-cost
AN,trn_pass_road_LDV_4W,LDV_4W,Electric,2020,tax,0.00000132
AP,trn_pass_road_LDV_4W,LDV_4W,Electric,2020,tax,0.00000132
AR,trn_pass_road_LDV_4W,LDV_4W,Electric,2020,tax,0.00000132
AS,trn_pass_road_LDV_4W,LDV_4W,Electric,2020,tax,0.00000132
BR,trn_pass_road_LDV_4W,LDV_4W,Electric,2020,tax,0.00000132
CG,trn_pass_road_LDV_4W,LDV_4W,Electric,2020,tax,0.00000132
CH,trn_pass_road_LDV_4W,LDV_4W,Electric,2020,tax,0.00000132
DD,trn_pass_road_LDV_4W,LDV_4W,Electric,2020,tax,0.00000132
DL,trn_pass_road_LDV_4W,LDV_4W,Electric,2020,tax,0.00000132
DN,trn_pass_road_LDV_4W,LDV_4W,Electric,2020,tax,0.00000132
GA,trn_pass_road_LDV_4W,LDV_4W,Electric,2020,tax,0.00000132
GJ,trn_pass_road_LDV_4W,LDV_4W,Electric,2020,tax,0.264
HP,trn_pass_road_LDV_4W,LDV_4W,Electric,2020,tax,0.00000132
HR,trn_pass_road_LDV_4W,LDV_4W,Electric,2020,tax,0.00000132
JH,trn_pass_road_LDV_4W,LDV_4W,Electric,2020,tax,13.2
JK,trn_pass_road_LDV_4W,LDV_4W,Electric,2020,tax,0.00000132
KA,trn_pass_road_LDV_4W,LDV_4W,Electric,2020,tax,0.00000132
KL,trn_pass_road_LDV_4W,LDV_4W,Electric,2020,tax,0.00000132
LA,trn_pass_road_LDV_4W,LDV_4W,Electric,2020,tax,0.00000132
LD,trn_pass_road_LDV_4W,LDV_4W,Electric,2020,tax,0.00000132
MH,trn_pass_road_LDV_4W,LDV_4W,Electric,2020,tax,0.00000132
ML,trn_pass_road_LDV_4W,LDV_4W,Electric,2020,tax,0.00000132
MN,trn_pass_road_LDV_4W,LDV_4W,Electric,2020,tax,0.00000132
MP,trn_pass_road_LDV_4W,LDV_4W,Electric,2020,tax,0.00000132
MZ,trn_pass_road_LDV_4W,LDV_4W,Electric,2020,tax,0.00000132
NL,trn_pass_road_LDV_4W,LDV_4W,Electric,2020,tax,0.00000132
OD,trn_pass_road_LDV_4W,LDV_4W,Electric,2020,tax,0.00000132
PB,trn_pass_road_LDV_4W,LDV_4W,Electric,2020,tax,0.00000132
PC,trn_pass_road_LDV_4W,LDV_4W,Electric,2020,tax,0.00000132
RJ,trn_pass_road_LDV_4W,LDV_4W,Electric,2020,tax,0.00000132
SK,trn_pass_road_LDV_4W,LDV_4W,Electric,2020,tax,0.00000132
TN,trn_pass_road_LDV_4W,LDV_4W,Electric,2020,tax,0.00000132
TR,trn_pass_road_LDV_4W,LDV_4W,Electric,2020,tax,0.00000132
TS,trn_pass_road_LDV_4W,LDV_4W,Electric,2020,tax,0.00132
UK,trn_pass_road_LDV_4W,LDV_4W,Electric,2020,tax,0.00000132
UP,trn_pass_road_LDV_4W,LDV_4W,Electric,2020,tax,0.00000132
WB,trn_pass_road_LDV_4W,LDV_4W,Electric,2020,tax,0.00000132
AN,trn_pass_road_LDV_2W,LDV_2W,Electric,2020,tax,0.00000132
AP,trn_pass_road_LDV_2W,LDV_2W,Electric,2020,tax,0.00000132
AR,trn_pass_road_LDV_2W,LDV_2W,Electric,2020,tax,0.00000132
AS,trn_pass_road_LDV_2W,LDV_2W,Electric,2020,tax,0.00000132
BR,trn_pass_road_LDV_2W,LDV_2W,Electric,2020,tax,0.00000132
CG,trn_pass_road_LDV_2W,LDV_2W,Electric,2020,tax,0.00000132
CH,trn_pass_road_LDV_2W,LDV_2W,Electric,2020,tax,0.00000132
DD,trn_pass_road_LDV_2W,LDV_2W,Electric,2020,tax,0.00000132
DL,trn_pass_road_LDV_2W,LDV_2W,Electric,2020,tax,0.00000132
DN,trn_pass_road_LDV_2W,LDV_2W,Electric,2020,tax,0.00000132
GA,trn_pass_road_LDV_2W,LDV_2W,Electric,2020,tax,0.00000132
GJ,trn_pass_road_LDV_2W,LDV_2W,Electric,2020,tax,0.264
HP,trn_pass_road_LDV_2W,LDV_2W,Electric,2020,tax,0.00000132
HR,trn_pass_road_LDV_2W,LDV_2W,Electric,2020,tax,0.00000132
JH,trn_pass_road_LDV_2W,LDV_2W,Electric,2020,tax,13.2
JK,trn_pass_road_LDV_2W,LDV_2W,Electric,2020,tax,0.00000132
KA,trn_pass_road_LDV_2W,LDV_2W,Electric,2020,tax,0.00000132
KL,trn_pass_road_LDV_2W,LDV_2W,Electric,2020,tax,0.00000132
LA,trn_pass_road_LDV_2W,LDV_2W,Electric,2020,tax,0.00000132
LD,trn_pass_road_LDV_2W,LDV_2W,Electric,2020,tax,0.00000132
MH,trn_pass_road_LDV_2W,LDV_2W,Electric,2020,tax,0.00000132
ML,trn_pass_road_LDV_2W,LDV_2W,Electric,2020,tax,0.00000132
MN,trn_pass_road_LDV_2W,LDV_2W,Electric,2020,tax,0.00000132
MP,trn_pass_road_LDV_2W,LDV_2W,Electric,2020,tax,0.00000132
MZ,trn_pass_road_LDV_2W,LDV_2W,Electric,2020,tax,0.00000132
NL,trn_pass_road_LDV_2W,LDV_2W,Electric,2020,tax,0.00000132
OD,trn_pass_road_LDV_2W,LDV_2W,Electric,2020,tax,0.00000132
PB,trn_pass_road_LDV_2W,LDV_2W,Electric,2020,tax,0.00000132
PC,trn_pass_road_LDV_2W,LDV_2W,Electric,2020,tax,0.00000132
RJ,trn_pass_road_LDV_2W,LDV_2W,Electric,2020,tax,0.00000132
SK,trn_pass_road_LDV_2W,LDV_2W,Electric,2020,tax,0.00000132
TN,trn_pass_road_LDV_2W,LDV_2W,Electric,2020,tax,0.00000132
TR,trn_pass_road_LDV_2W,LDV_2W,Electric,2020,tax,0.00000132
TS,trn_pass_road_LDV_2W,LDV_2W,Electric,2020,tax,0.00132
UK,trn_pass_road_LDV_2W,LDV_2W,Electric,2020,tax,0.00000132
UP,trn_pass_road_LDV_2W,LDV_2W,Electric,2020,tax,0.00000132
WB,trn_pass_road_LDV_2W,LDV_2W,Electric,2020,tax,0.00000132
AN,trn_pass_road_LDV,LDV_3W,Electric,2020,tax,0.00000132
AP,trn_pass_road_LDV,LDV_3W,Electric,2020,tax,0.00000132
AR,trn_pass_road_LDV,LDV_3W,Electric,2020,tax,0.00000132
AS,trn_pass_road_LDV,LDV_3W,Electric,2020,tax,0.00000132
BR,trn_pass_road_LDV,LDV_3W,Electric,2020,tax,0.00000132
CG,trn_pass_road_LDV,LDV_3W,Electric,2020,tax,0.00000132
CH,trn_pass_road_LDV,LDV_3W,Electric,2020,tax,0.00000132
DD,trn_pass_road_LDV,LDV_3W,Electric,2020,tax,0.00000132
DL,trn_pass_road_LDV,LDV_3W,Electric,2020,tax,0.00000132
DN,trn_pass_road_LDV,LDV_3W,Electric,2020,tax,0.00000132
GA,trn_pass_road_LDV,LDV_3W,Electric,2020,tax,0.00000132
GJ,trn_pass_road_LDV,LDV_3W,Electric,2020,tax,0.264
HP,trn_pass_road_LDV,LDV_3W,Electric,2020,tax,0.00000132
HR,trn_pass_road_LDV,LDV_3W,Electric,2020,tax,0.00000132
JH,trn_pass_road_LDV,LDV_3W,Electric,2020,tax,13.2
JK,trn_pass_road_LDV,LDV_3W,Electric,2020,tax,0.00000132
KA,trn_pass_road_LDV,LDV_3W,Electric,2020,tax,0.00000132
KL,trn_pass_road_LDV,LDV_3W,Electric,2020,tax,0.00000132
LA,trn_pass_road_LDV,LDV_3W,Electric,2020,tax,0.00000132
LD,trn_pass_road_LDV,LDV_3W,Electric,2020,tax,0.00000132
MH,trn_pass_road_LDV,LDV_3W,Electric,2020,tax,0.00000132
ML,trn_pass_road_LDV,LDV_3W,Electric,2020,tax,0.00000132
MN,trn_pass_road_LDV,LDV_3W,Electric,2020,tax,0.00000132
MP,trn_pass_road_LDV,LDV_3W,Electric,2020,tax,0.00000132
MZ,trn_pass_road_LDV,LDV_3W,Electric,2020,tax,0.00000132
NL,trn_pass_road_LDV,LDV_3W,Electric,2020,tax,0.00000132
OD,trn_pass_road_LDV,LDV_3W,Electric,2020,tax,0.00000132
PB,trn_pass_road_LDV,LDV_3W,Electric,2020,tax,0.00000132
PC,trn_pass_road_LDV,LDV_3W,Electric,2020,tax,0.00000132
RJ,trn_pass_road_LDV,LDV_3W,Electric,2020,tax,0.00000132
SK,trn_pass_road_LDV,LDV_3W,Electric,2020,tax,0.00000132
TN,trn_pass_road_LDV,LDV_3W,Electric,2020,tax,0.00000132
TR,trn_pass_road_LDV,LDV_3W,Electric,2020,tax,0.00000132
TS,trn_pass_road_LDV,LDV_3W,Electric,2020,tax,0.00132
UK,trn_pass_road_LDV,LDV_3W,Electric,2020,tax,0.00000132
UP,trn_pass_road_LDV,LDV_3W,Electric,2020,tax,0.00000132
WB,trn_pass_road_LDV,LDV_3W,Electric,2020,tax,0.00000132
AN,trn_pass_road_LDV,LDV_3W,NG,2020,tax,0.0000011
AP,trn_pass_road_LDV,LDV_3W,NG,2020,tax,0.0000011
AR,trn_pass_road_LDV,LDV_3W,NG,2020,tax,0.0000011
AS,trn_pass_road_LDV,LDV_3W,NG,2020,tax,0.0000011
BR,trn_pass_road_LDV,LDV_3W,NG,2020,tax,0.0000011
CG,trn_pass_road_LDV,LDV_3W,NG,2020,tax,0.0000011
CH,trn_pass_road_LDV,LDV_3W,NG,2020,tax,0.0000011
DD,trn_pass_road_LDV,LDV_3W,NG,2020,tax,0.0000011
DL,trn_pass_road_LDV,LDV_3W,NG,2020,tax,-0.046305
DN,trn_pass_road_LDV,LDV_3W,NG,2020,tax,0.0000011
GA,trn_pass_road_LDV,LDV_3W,NG,2020,tax,0.0000011
GJ,trn_pass_road_LDV,LDV_3W,NG,2020,tax,3.9325
HP,trn_pass_road_LDV,LDV_3W,NG,2020,tax,0.0000011
HR,trn_pass_road_LDV,LDV_3W,NG,2020,tax,-0.0072
JH,trn_pass_road_LDV,LDV_3W,NG,2020,tax,0.0000011
JK,trn_pass_road_LDV,LDV_3W,NG,2020,tax,0.0000011
KA,trn_pass_road_LDV,LDV_3W,NG,2020,tax,0.0000011
KL,trn_pass_road_LDV,LDV_3W,NG,2020,tax,0.0000011
LA,trn_pass_road_LDV,LDV_3W,NG,2020,tax,0.0000011
LD,trn_pass_road_LDV,LDV_3W,NG,2020,tax,0.0000011
MH,trn_pass_road_LDV,LDV_3W,NG,2020,tax,0.0000011
ML,trn_pass_road_LDV,LDV_3W,NG,2020,tax,0.0000011
MN,trn_pass_road_LDV,LDV_3W,NG,2020,tax,0.0000011
MP,trn_pass_road_LDV,LDV_3W,NG,2020,tax,0.0000011
MZ,trn_pass_road_LDV,LDV_3W,NG,2020,tax,0.0000011
NL,trn_pass_road_LDV,LDV_3W,NG,2020,tax,0.0000011
OD,trn_pass_road_LDV,LDV_3W,NG,2020,tax,0.0000011
PB,trn_pass_road_LDV,LDV_3W,NG,2020,tax,0.0000011
PC,trn_pass_road_LDV,LDV_3W,NG,2020,tax,0.0000011
RJ,trn_pass_road_LDV,LDV_3W,NG,2020,tax,0.0000011
SK,trn_pass_road_LDV,LDV_3W,NG,2020,tax,0.0000011
TN,trn_pass_road_LDV,LDV_3W,NG,2020,tax,0.0000011
TR,trn_pass_road_LDV,LDV_3W,NG,2020,tax,0.0000011
TS,trn_pass_road_LDV,LDV_3W,NG,2020,tax,0.0000011
UK,trn_pass_road_LDV,LDV_3W,NG,2020,tax,0.0000011
UP,trn_pass_road_LDV,LDV_3W,NG,2020,tax,0.0198
WB,trn_pass_road_LDV,LDV_3W,NG,2020,tax,0.0000011
AN,trn_pass_road_LDV_4W,LDV_4W,NG,2020,tax,0.0000011
AP,trn_pass_road_LDV_4W,LDV_4W,NG,2020,tax,0.0000011
AR,trn_pass_road_LDV_4W,LDV_4W,NG,2020,tax,0.0000011
AS,trn_pass_road_LDV_4W,LDV_4W,NG,2020,tax,0.0000011
BR,trn_pass_road_LDV_4W,LDV_4W,NG,2020,tax,0.0000011
CG,trn_pass_road_LDV_4W,LDV_4W,NG,2020,tax,0.0000011
CH,trn_pass_road_LDV_4W,LDV_4W,NG,2020,tax,0.0000011
DD,trn_pass_road_LDV_4W,LDV_4W,NG,2020,tax,0.0000011
DL,trn_pass_road_LDV_4W,LDV_4W,NG,2020,tax,-0.046305
DN,trn_pass_road_LDV_4W,LDV_4W,NG,2020,tax,0.0000011
GA,trn_pass_road_LDV_4W,LDV_4W,NG,2020,tax,0.0000011
GJ,trn_pass_road_LDV_4W,LDV_4W,NG,2020,tax,3.025
HP,trn_pass_road_LDV_4W,LDV_4W,NG,2020,tax,0.0000011
HR,trn_pass_road_LDV_4W,LDV_4W,NG,2020,tax,-0.0072
JH,trn_pass_road_LDV_4W,LDV_4W,NG,2020,tax,0.0000011
JK,trn_pass_road_LDV_4W,LDV_4W,NG,2020,tax,0.0000011
KA,trn_pass_road_LDV_4W,LDV_4W,NG,2020,tax,0.0000011
KL,trn_pass_road_LDV_4W,LDV_4W,NG,2020,tax,0.0000011
LA,trn_pass_road_LDV_4W,LDV_4W,NG,2020,tax,0.0000011
LD,trn_pass_road_LDV_4W,LDV_4W,NG,2020,tax,0.0000011
MH,trn_pass_road_LDV_4W,LDV_4W,NG,2020,tax,0.0000011
ML,trn_pass_road_LDV_4W,LDV_4W,NG,2020,tax,0.0000011
MN,trn_pass_road_LDV_4W,LDV_4W,NG,2020,tax,0.0000011
MP,trn_pass_road_LDV_4W,LDV_4W,NG,2020,tax,0.0000011
MZ,trn_pass_road_LDV_4W,LDV_4W,NG,2020,tax,0.0000011
NL,trn_pass_road_LDV_4W,LDV_4W,NG,2020,tax,0.0000011
OD,trn_pass_road_LDV_4W,LDV_4W,NG,2020,tax,0.0000011
PB,trn_pass_road_LDV_4W,LDV_4W,NG,2020,tax,0.0000011
PC,trn_pass_road_LDV_4W,LDV_4W,NG,2020,tax,0.0000011
RJ,trn_pass_road_LDV_4W,LDV_4W,NG,2020,tax,0.0000011
SK,trn_pass_road_LDV_4W,LDV_4W,NG,2020,tax,0.0000011
TN,trn_pass_road_LDV_4W,LDV_4W,NG,2020,tax,0.0000011
TR,trn_pass_road_LDV_4W,LDV_4W,NG,2020,tax,0.0000011
TS,trn_pass_road_LDV_4W,LDV_4W,NG,2020,tax,0.0000011
UK,trn_pass_road_LDV_4W,LDV_4W,NG,2020,tax,0.0000011
UP,trn_pass_road_LDV_4W,LDV_4W,NG,2020,tax,0.0198
WB,trn_pass_road_LDV_4W,LDV_4W,NG,2020,tax,0.0000011
AN,trn_pass_road,Bus,Electric,2020,tax,0.00000132
AP,trn_pass_road,Bus,Electric,2020,tax,0.00000132
AR,trn_pass_road,Bus,Electric,2020,tax,0.00000132
AS,trn_pass_road,Bus,Electric,2020,tax,0.00000132
BR,trn_pass_road,Bus,Electric,2020,tax,0.00000132
CG,trn_pass_road,Bus,Electric,2020,tax,0.00000132
CH,trn_pass_road,Bus,Electric,2020,tax,0.00000132
DD,trn_pass_road,Bus,Electric,2020,tax,0.00000132
DL,trn_pass_road,Bus,Electric,2020,tax,0.00000132
DN,trn_pass_road,Bus,Electric,2020,tax,0.00000132
GA,trn_pass_road,Bus,Electric,2020,tax,0.00000132
GJ,trn_pass_road,Bus,Electric,2020,tax,0.264
HP,trn_pass_road,Bus,Electric,2020,tax,0.00000132
HR,trn_pass_road,Bus,Electric,2020,tax,0.00000132
JH,trn_pass_road,Bus,Electric,2020,tax,13.2
JK,trn_pass_road,Bus,Electric,2020,tax,0.00000132
KA,trn_pass_road,Bus,Electric,2020,tax,0.00000132
KL,trn_pass_road,Bus,Electric,2020,tax,0.00000132
LA,trn_pass_road,Bus,Electric,2020,tax,0.00000132
LD,trn_pass_road,Bus,Electric,2020,tax,0.00000132
MH,trn_pass_road,Bus,Electric,2020,tax,0.00000132
ML,trn_pass_road,Bus,Electric,2020,tax,0.00000132
MN,trn_pass_road,Bus,Electric,2020,tax,0.00000132
MP,trn_pass_road,Bus,Electric,2020,tax,0.00000132
MZ,trn_pass_road,Bus,Electric,2020,tax,0.00000132
NL,trn_pass_road,Bus,Electric,2020,tax,0.00000132
OD,trn_pass_road,Bus,Electric,2020,tax,0.00000132
PB,trn_pass_road,Bus,Electric,2020,tax,0.00000132
PC,trn_pass_road,Bus,Electric,2020,tax,0.00000132
RJ,trn_pass_road,Bus,Electric,2020,tax,0.00000132
SK,trn_pass_road,Bus,Electric,2020,tax,0.00000132
TN,trn_pass_road,Bus,Electric,2020,tax,0.00000132
TR,trn_pass_road,Bus,Electric,2020,tax,0.00000132
TS,trn_pass_road,Bus,Electric,2020,tax,0.00132
UK,trn_pass_road,Bus,Electric,2020,tax,0.00000132
UP,trn_pass_road,Bus,Electric,2020,tax,0.00000132
WB,trn_pass_road,Bus,Electric,2020,tax,0.00000132
AN,trn_pass_road,Bus,NG,2020,tax,0.0000011
AP,trn_pass_road,Bus,NG,2020,tax,0.0000011
AR,trn_pass_road,Bus,NG,2020,tax,0.0000011
AS,trn_pass_road,Bus,NG,2020,tax,0.0000011
BR,trn_pass_road,Bus,NG,2020,tax,0.0000011
CG,trn_pass_road,Bus,NG,2020,tax,0.0000011
CH,trn_pass_road,Bus,NG,2020,tax,0.0000011
DD,trn_pass_road,Bus,NG,2020,tax,0.0000011
DL,trn_pass_road,Bus,NG,2020,tax,-0.046305
DN,trn_pass_road,Bus,NG,2020,tax,0.0000011
GA,trn_pass_road,Bus,NG,2020,tax,0.0000011
GJ,trn_pass_road,Bus,NG,2020,tax,3.025
HP,trn_pass_road,Bus,NG,2020,tax,0.0000011
HR,trn_pass_road,Bus,NG,2020,tax,-0.0072
JH,trn_pass_road,Bus,NG,2020,tax,0.0000011
JK,trn_pass_road,Bus,NG,2020,tax,0.0000011
KA,trn_pass_road,Bus,NG,2020,tax,0.0000011
KL,trn_pass_road,Bus,NG,2020,tax,0.0000011
LA,trn_pass_road,Bus,NG,2020,tax,0.0000011
LD,trn_pass_road,Bus,NG,2020,tax,0.0000011
MH,trn_pass_road,Bus,NG,2020,tax,0.0000011
ML,trn_pass_road,Bus,NG,2020,tax,0.0000011
MN,trn_pass_road,Bus,NG,2020,tax,0.0000011
MP,trn_pass_road,Bus,NG,2020,tax,0.0000011
MZ,trn_pass_road,Bus,NG,2020,tax,0.0000011
NL,trn_pass_road,Bus,NG,2020,tax,0.0000011
OD,trn_pass_road,Bus,NG,2020,tax,0.0000011
PB,trn_pass_road,Bus,NG,2020,tax,0.0000011
PC,trn_pass_road,Bus,NG,2020,tax,0.0000011
RJ,trn_pass_road,Bus,NG,2020,tax,0.0000011
SK,trn_pass_road,Bus,NG,2020,tax,0.0000011
TN,trn_pass_road,Bus,NG,2020,tax,0.0000011
TR,trn_pass_road,Bus,NG,2020,tax,0.0000011
TS,trn_pass_road,Bus,NG,2020,tax,0.0000011
UK,trn_pass_road,Bus,NG,2020,tax,0.0000011
UP,trn_pass_road,Bus,NG,2020,tax,0.0198
WB,trn_pass_road,Bus,NG,2020,tax,0.0000011
AN,trn_pass_road_LDV,LDV_3W,Liquids,2020,tax,0.00000132
AP,trn_pass_road_LDV,LDV_3W,Liquids,2020,tax,0.00000132
AR,trn_pass_road_LDV,LDV_3W,Liquids,2020,tax,0.00000132
AS,trn_pass_road_LDV,LDV_3W,Liquids,2020,tax,0.00000132
BR,trn_pass_road_LDV,LDV_3W,Liquids,2020,tax,0.00000132
CG,trn_pass_road_LDV,LDV_3W,Liquids,2020,tax,0.00000132
CH,trn_pass_road_LDV,LDV_3W,Liquids,2020,tax,0.00000132
DD,trn_pass_road_LDV,LDV_3W,Liquids,2020,tax,0.00000132
DL,trn_pass_road_LDV,LDV_3W,Liquids,2020,tax,0.00000132
DN,trn_pass_road_LDV,LDV_3W,Liquids,2020,tax,0.00000132
GA,trn_pass_road_LDV,LDV_3W,Liquids,2020,tax,-0.288
GJ,trn_pass_road_LDV,LDV_3W,Liquids,2020,tax,0.99
HP,trn_pass_road_LDV,LDV_3W,Liquids,2020,tax,0.00000132
HR,trn_pass_road_LDV,LDV_3W,Liquids,2020,tax,0.00000132
JH,trn_pass_road_LDV,LDV_3W,Liquids,2020,tax,0.00000132
JK,trn_pass_road_LDV,LDV_3W,Liquids,2020,tax,0.00000132
KA,trn_pass_road_LDV,LDV_3W,Liquids,2020,tax,0.00000132
KL,trn_pass_road_LDV,LDV_3W,Liquids,2020,tax,0.00000132
LA,trn_pass_road_LDV,LDV_3W,Liquids,2020,tax,0.00000132
LD,trn_pass_road_LDV,LDV_3W,Liquids,2020,tax,0.00000132
MH,trn_pass_road_LDV,LDV_3W,Liquids,2020,tax,0.00000132
ML,trn_pass_road_LDV,LDV_3W,Liquids,2020,tax,0.00000132
MN,trn_pass_road_LDV,LDV_3W,Liquids,2020,tax,0.00000132
MP,trn_pass_road_LDV,LDV_3W,Liquids,2020,tax,0.00000132
MZ,trn_pass_road_LDV,LDV_3W,Liquids,2020,tax,0.00000132
NL,trn_pass_road_LDV,LDV_3W,Liquids,2020,tax,0.00000132
OD,trn_pass_road_LDV,LDV_3W,Liquids,2020,tax,0.00000132
PB,trn_pass_road_LDV,LDV_3W,Liquids,2020,tax,0.00000132
PC,trn_pass_road_LDV,LDV_3W,Liquids,2020,tax,0.00000132
RJ,trn_pass_road_LDV,LDV_3W,Liquids,2020,tax,0.00000132
SK,trn_pass_road_LDV,LDV_3W,Liquids,2020,tax,0.00000132
TN,trn_pass_road_LDV,LDV_3W,Liquids,2020,tax,0.00000132
TR,trn_pass_road_LDV,LDV_3W,Liquids,2020,tax,0.00000132
TS,trn_pass_road_LDV,LDV_3W,Liquids,2020,tax,0.00000132
UK,trn_pass_road_LDV,LDV_3W,Liquids,2020,tax,0.00000132
UP,trn_pass_road_LDV,LDV_3W,Liquids,2020,tax,-0.288
WB,trn_pass_road_LDV,LDV_3W,Liquids,2020,tax,0.00000132
AN,trn_pass_road_LDV_4W,LDV_4W,Liquids,2020,tax,0.00000132
AP,trn_pass_road_LDV_4W,LDV_4W,Liquids,2020,tax,0.00000132
AR,trn_pass_road_LDV_4W,LDV_4W,Liquids,2020,tax,0.00000132
AS,trn_pass_road_LDV_4W,LDV_4W,Liquids,2020,tax,0.00000132
BR,trn_pass_road_LDV_4W,LDV_4W,Liquids,2020,tax,0.00000132
CG,trn_pass_road_LDV_4W,LDV_4W,Liquids,2020,tax,0.00000132
CH,trn_pass_road_LDV_4W,LDV_4W,Liquids,2020,tax,0.00000132
DD,trn_pass_road_LDV_4W,LDV_4W,Liquids,2020,tax,0.00000132
DL,trn_pass_road_LDV_4W,LDV_4W,Liquids,2020,tax,0.00000132
DN,trn_pass_road_LDV_4W,LDV_4W,Liquids,2020,tax,0.00000132
GA,trn_pass_road_LDV_4W,LDV_4W,Liquids,2020,tax,-0.36
GJ,trn_pass_road_LDV_4W,LDV_4W,Liquids,2020,tax,0.99
HP,trn_pass_road_LDV_4W,LDV_4W,Liquids,2020,tax,0.00000132
HR,trn_pass_road_LDV_4W,LDV_4W,Liquids,2020,tax,0.00000132
JH,trn_pass_road_LDV_4W,LDV_4W,Liquids,2020,tax,0.00000132
JK,trn_pass_road_LDV_4W,LDV_4W,Liquids,2020,tax,0.00000132
KA,trn_pass_road_LDV_4W,LDV_4W,Liquids,2020,tax,0.00000132
KL,trn_pass_road_LDV_4W,LDV_4W,Liquids,2020,tax,0.00000132
LA,trn_pass_road_LDV_4W,LDV_4W,Liquids,2020,tax,0.00000132
LD,trn_pass_road_LDV_4W,LDV_4W,Liquids,2020,tax,0.00000132
MH,trn_pass_road_LDV_4W,LDV_4W,Liquids,2020,tax,0.00000132
ML,trn_pass_road_LDV_4W,LDV_4W,Liquids,2020,tax,0.00000132
MN,trn_pass_road_LDV_4W,LDV_4W,Liquids,2020,tax,0.00000132
MP,trn_pass_road_LDV_4W,LDV_4W,Liquids,2020,tax,0.00000132
MZ,trn_pass_road_LDV_4W,LDV_4W,Liquids,2020,tax,0.00000132
NL,trn_pass_road_LDV_4W,LDV_4W,Liquids,2020,tax,0.00000132
OD,trn_pass_road_LDV_4W,LDV_4W,Liquids,2020,tax,0.00000132
PB,trn_pass_road_LDV_4W,LDV_4W,Liquids,2020,tax,0.00000132
PC,trn_pass_road_LDV_4W,LDV_4W,Liquids,2020,tax,0.00000132
RJ,trn_pass_road_LDV_4W,LDV_4W,Liquids,2020,tax,0.00000132
SK,trn_pass_road_LDV_4W,LDV_4W,Liquids,2020,tax,0.00000132
TN,trn_pass_road_LDV_4W,LDV_4W,Liquids,2020,tax,0.00000132
TR,trn_pass_road_LDV_4W,LDV_4W,Liquids,2020,tax,0.00000132
TS,trn_pass_road_LDV_4W,LDV_4W,Liquids,2020,tax,0.00000132
UK,trn_pass_road_LDV_4W,LDV_4W,Liquids,2020,tax,0.00000132
UP,trn_pass_road_LDV_4W,LDV_4W,Liquids,2020,tax,-0.432
WB,trn_pass_road_LDV_4W,LDV_4W,Liquids,2020,tax,0.00000132
AN,trn_pass_road,Bus,Liquids,2020,tax,0.00000132
AP,trn_pass_road,Bus,Liquids,2020,tax,0.00000132
AR,trn_pass_road,Bus,Liquids,2020,tax,0.00000132
AS,trn_pass_road,Bus,Liquids,2020,tax,0.00000132
BR,trn_pass_road,Bus,Liquids,2020,tax,0.00000132
CG,trn_pass_road,Bus,Liquids,2020,tax,0.00000132
CH,trn_pass_road,Bus,Liquids,2020,tax,0.00000132
DD,trn_pass_road,Bus,Liquids,2020,tax,0.00000132
DL,trn_pass_road,Bus,Liquids,2020,tax,0.00000132
DN,trn_pass_road,Bus,Liquids,2020,tax,0.00000132
GA,trn_pass_road,Bus,Liquids,2020,tax,-0.36
GJ,trn_pass_road,Bus,Liquids,2020,tax,0.99
HP,trn_pass_road,Bus,Liquids,2020,tax,0.00000132
HR,trn_pass_road,Bus,Liquids,2020,tax,0.00000132
JH,trn_pass_road,Bus,Liquids,2020,tax,0.00000132
JK,trn_pass_road,Bus,Liquids,2020,tax,0.00000132
KA,trn_pass_road,Bus,Liquids,2020,tax,0.00000132
KL,trn_pass_road,Bus,Liquids,2020,tax,0.00000132
LA,trn_pass_road,Bus,Liquids,2020,tax,0.00000132
LD,trn_pass_road,Bus,Liquids,2020,tax,0.00000132
MH,trn_pass_road,Bus,Liquids,2020,tax,0.00000132
ML,trn_pass_road,Bus,Liquids,2020,tax,0.00000132
MN,trn_pass_road,Bus,Liquids,2020,tax,0.00000132
MP,trn_pass_road,Bus,Liquids,2020,tax,0.00000132
MZ,trn_pass_road,Bus,Liquids,2020,tax,0.00000132
NL,trn_pass_road,Bus,Liquids,2020,tax,0.00000132
OD,trn_pass_road,Bus,Liquids,2020,tax,0.00000132
PB,trn_pass_road,Bus,Liquids,2020,tax,0.00000132
PC,trn_pass_road,Bus,Liquids,2020,tax,0.00000132
RJ,trn_pass_road,Bus,Liquids,2020,tax,0.00000132
SK,trn_pass_road,Bus,Liquids,2020,tax,0.00000132
TN,trn_pass_road,Bus,Liquids,2020,tax,0.00000132
TR,trn_pass_road,Bus,Liquids,2020,tax,0.00000132
TS,trn_pass_road,Bus,Liquids,2020,tax,0.00000132
UK,trn_pass_road,Bus,Liquids,2020,tax,0.00000132
UP,trn_pass_road,Bus,Liquids,2020,tax,-0.288
WB,trn_pass_road,Bus,Liquids,2020,tax,0.00000132
AN,trn_pass_road_LDV_4W,LDV_4W,Electric,2025,tax,-0.016841025
AP,trn_pass_road_LDV_4W,LDV_4W,Electric,2025,tax,-0.018356275
AR,trn_pass_road_LDV_4W,LDV_4W,Electric,2025,tax,-0.016872925
AS,trn_pass_road_LDV_4W,LDV_4W,Electric,2025,tax,-0.017399275
BR,trn_pass_road_LDV_4W,LDV_4W,Electric,2025,tax,-0.017877775
